# {"exp_name": "Vowels", "audio_controller": {"TYPE": "sound_card", "SOUND_CARD_API": "ASIO", "SOUND_CARD_BACKEND": "rtmixer", "SOUND_CARD_NAME": "ASIO HDSPe FX", "SOUND_CARD_FS": 48000.0, "SOUND_CARD_TRIGGER_CHANNELS": 1}, "response_device": null, "stim_rms": 0.01, "stim_fs": 48000.0, "stim_db": 50, "noise_db": 45, "output_dir": "data", "window_size": null, "screen_num": 0, "full_screen": false, "force_quit": ["end", "lctrl"], "participant": "VowelIDs005", "monitor": null, "trigger_controller": "sound_card", "session": "foo", "check_rms": "wholefile", "suppress_resamp": false, "version": "dev", "enable_video": false, "safe_flipping": null, "n_channels": 53, "trigger_duration": 0.01, "joystick": false, "verbose": null, "date": "2022-02-10 16_31_19.237413", "file": "F:\\Code\\Vowels_VR\\Vowels_VR\\Vowels_1v2a_Vowelids_run_experiment.py", "version_used": "2.0.0.dev0"}
timestamp	event	value
3.7923542999999995	flip	3.7923480000000005
3.7979038999999997	flip	3.7978974999999995
3.8217003	flip	3.821693100000001
170.4985672	trial_id	vowelids_training_unisensory_0
170.50371900000002	blips	[3.688888888888889]
170.86155250000002	screen_text	Playing auditory training trial 0
170.8616399	flip	170.8615479
170.8629263	play	None
174.9459607	response	(4.0786590576171875,)
174.94620790000002	stop	None
174.94735980000002	responses	4.0786590576171875
174.94746360000002	trial_ok	None
175.9536736	trial_id	vowelids_training_unisensory_1
175.95637620000002	blips	[6.8]
176.3602318	screen_text	Playing auditory training trial 1
176.36035130000002	flip	176.36022680000002
176.36194450000002	play	None
183.5617335	response	(7.1997833251953125,)
183.56195730000002	stop	None
183.5628345	responses	7.1997833251953125
183.56294390000002	trial_ok	None
184.56989660000002	trial_id	vowelids_training_unisensory_2
184.5747966	blips	[6.088888888888889]
184.9562634	screen_text	Playing auditory training trial 2
184.9563481	flip	184.95625990000002
184.95750030000002	play	None
191.42631400000002	response	(6.4648590087890625,)
191.42650790000002	stop	None
191.42740080000002	responses	6.4648590087890625
191.42744570000002	trial_ok	None
198.41142960000002	trial_id	vowelids_training_unisensory_3
198.4166964	blips	[4.044444444444444]
198.8906875	screen_text	Playing visual training trial 3
198.89076540000002	flip	198.8906833
198.8918214	play	None
203.2377841	response	(4.3406982421875,)
203.2379276	stop	None
203.23868380000002	responses	4.3406982421875
203.23874750000002	trial_ok	None
204.24788700000002	trial_id	vowelids_training_unisensory_4
204.25144590000002	blips	[6.1]
204.7022953	screen_text	Playing visual training trial 4
204.70237590000002	flip	204.7022919
204.70322910000002	play	None
211.1726152	response	(6.4676513671875,)
211.1728239	stop	None
211.1738263	responses	6.4676513671875
211.1738999	trial_ok	None
212.1799956	trial_id	vowelids_training_unisensory_5
212.1842757	blips	[6.3]
212.6594152	screen_text	Playing visual training trial 5
212.65948830000002	flip	212.659412
212.6603193	play	None
219.2543421	response	(6.586273193359375,)
219.2545029	stop	None
219.25530210000002	responses	6.586273193359375
219.25537690000002	trial_ok	None
226.72824400000002	trial_id	vowelids_training_6
226.73265940000002	blips	[[9.055555555555555], [11.21111111111111], [5.544444444444444, 7.355555555555555, 3.933333333333333]]
227.36167840000002	screen_text	Playing training trial 6
227.3617666	flip	227.3616738
227.3626714	play	None
242.380638	response	(9.431747436523438,)
242.3809098	stop	None
242.38198440000002	responses	[9.431747436523438]
242.3820354	trial_ok	None
243.3897643	trial_id	vowelids_training_7
243.3922986	blips	[[8.833333333333334], [3.433333333333333], [10.7]]
244.0472589	screen_text	Playing training trial 7
244.04737590000002	flip	244.04725390000002
244.0487079	play	None
259.0617559	response	(9.176803588867188,)
259.0619791	stop	None
259.0629833	responses	[9.176803588867188]
259.063061	trial_ok	None
264.92848139999995	trial_id	vowelids_training_8
264.9328023	blips	[[6.088888888888889, 3.922222222222222], [9.9], [12.822222222222223]]
265.65432799999996	screen_text	Playing training trial 8
265.6544168	flip	265.65432339999995
265.65533089999997	play	None
280.6735334	response	(4.43536376953125, 6.62445068359375, 13.174560546875)
280.6736563	stop	None
280.6744359	responses	[4.43536376953125, 6.62445068359375, 13.174560546875]
280.6744955	trial_ok	None
281.68398229999997	trial_id	vowelids_training_9
281.6877697	blips	[[12.633333333333333], [8.866666666666667], [5.844444444444444]]
282.52730199999996	screen_text	Playing training trial 9
282.5274293	flip	282.52729469999997
282.5286934	play	None
297.54349709999997	response	(6.224151611328125, 12.99908447265625)
297.5436668	stop	None
297.5446702	responses	[6.224151611328125, 12.99908447265625]
297.5447641	trial_ok	None
298.5525547	trial_id	vowelids_training_10
298.55537519999996	blips	[[9.3, 12.877777777777778, 11.61111111111111], [5.033333333333333], [7.344444444444444]]
299.4505757	screen_text	Playing training trial 10
299.45065489999996	flip	299.45057169999995
299.4518134	play	None
314.4706936	response	(7.707794189453125, 9.8736572265625, 12.098358154296875, 13.623565673828125)
314.4708659	stop	None
314.47188459999995	responses	[7.707794189453125, 9.8736572265625, 12.098358154296875, 13.623565673828125]
314.4720067	trial_ok	None
315.4781589	trial_id	vowelids_training_11
315.4819119	blips	[[9.822222222222223, 7.211111111111111, 4.233333333333333], [5.733333333333333], [12.255555555555556]]
316.3275187	screen_text	Playing training trial 11
316.32776179999996	flip	316.32750999999996
316.3304257	play	None
331.33947639999997	response	(4.766357421875, 7.731842041015625, 10.182708740234375, 12.584442138671875)
331.33961569999997	stop	None
331.340605	responses	[4.766357421875, 7.731842041015625, 10.182708740234375, 12.584442138671875]
331.34070629999997	trial_ok	None
347.8318571	trial_id	vowelids_training_12
